row,name,knob,region,SAM,SID,ERGAS,PSNR,SSIM,DE,S_SAM,S_SID,S_ERGAS,S_PSNR,S_DE,S_SPEC,S_SPAT,SSC
M7,gain error,global +3%,object,0.00681864,1.41497e-08,3.75264,42.554,0.999768,0.612101,0.998637,0.999999,0.288323,0.7518,0.815689,0.659305,0.875784,0.751476
M7,gain error,global +3%,table,0.0842899,1.73448e-08,5.1136,52.6783,0.999775,0.196241,0.983284,0.999999,0.181977,1,0.936681,0.563424,0.999887,0.743243
M7,gain error,global +3%,background,0.021675,1.82285e-08,4.21201,47.8498,0.999873,0.345597,0.995674,0.999999,0.259973,0.928327,0.891194,0.629744,0.9641,0.768821
M7,gain error,global -3%,full,0.0209584,1.70232e-08,5.13391,45.1701,0.999824,0.438437,0.995817,0.999999,0.185864,0.839003,0.864316,0.566255,0.919413,0.713962
M7,gain error,global -3%,object,0.00651692,1.41714e-08,3.75264,42.2021,0.999792,0.612074,0.998698,0.999999,0.288323,0.740071,0.815684,0.659319,0.869931,0.749729
M7,gain error,global -3%,table,0.08689,1.73654e-08,5.1136,52.5277,0.999758,0.20004,0.982773,0.999999,0.181977,1,0.935495,0.563326,0.999879,0.743035
M7,gain error,global -3%,background,0.021982,1.82527e-08,4.21201,47.6697,0.999867,0.350474,0.995613,0.999999,0.259973,0.922323,0.889747,0.629732,0.961095,0.767799
M7,gain error,global +10%,full,0.0200932,1.69957e-08,17.113,35.2946,0.998308,1.4172,0.99599,0.999999,0.00461894,0.50982,0.625739,0.15453,0.754064,0.32794
M7,gain error,global +10%,object,0.00640103,1.41555e-08,12.5088,32.4017,0.997875,1.9686,0.998721,0.999999,0.0165456,0.413389,0.520533,0.251212,0.705632,0.400757
M7,gain error,global +10%,table,0.081539,1.7359e-08,17.0454,42.3883,0.99769,0.63997,0.983825,0.999999,0.00343253,0.746278,0.807903,0.149786,0.871984,0.357203
M7,gain error,global +10%,background,0.0211898,1.8214e-08,14.0401,37.5779,0.998696,1.13153,0.995771,0.999999,0.0144717,0.58593,0.685838,0.224824,0.792313,0.406784
M7,gain error,global -10%,full,0.0214618,1.70658e-08,17.113,34.4633,0.998192,1.47098,0.995717,0.999999,0.00461894,0.48211,0.614449,0.154516,0.740151,0.32486
M7,gain error,global -10%,object,0.00668644,1.42094e-08,12.5088,31.4811,0.998144,2.0586,0.998664,0.999999,0.0165456,0.382704,0.505496,0.251208,0.690424,0.3959
M7,gain error,global -10%,table,0.0902506,1.73994e-08,17.0454,41.8854,0.997078,0.68219,0.982112,0.999999,0.00343253,0.729512,0.796614,0.149699,0.863295,0.3551
M7,gain error,global -10%,background,0.022385,1.82896e-08,14.0401,37.0129,0.998414,1.18852,0.995533,0.999999,0.0144717,0.567097,0.672937,0.224807,0.782756,0.403941
M7,gain error,per band 1%,full,0.547528,9.63638e-05,1.7113,56.6014,0.999962,0.470248,0.896278,0.995193,0.567039,1,0.855118,0.796188,0.999981,0.871507
M7,gain error,per band 1%,object,0.56521,9.80603e-05,1.25088,53.6069,0.999885,0.561719,0.893113,0.995109,0.659602,1,0.830298,0.836768,0.999942,0.889398
M7,gain error,per band 1%,table,0.499399,9.33619e-05,1.70453,64.1275,0.999981,0.259641,0.904947,0.995343,0.566598,1,0.917093,0.799128,0.99999,0.882405
